,County,Sale Date & Time,Bid Amount,State Code,Court SP#,Case Number,Address,Book Page
0,Cabarrus,06/19/17   2:00PM,Not Available Yet,NC,14 SP 281,14-05633-FC01,"7135 Tabor Falls Drive   Harrisburg, North Carolina 28075-8627",6295/334
1,Cabarrus,05/31/17   2:00PM,Not Available Yet,NC,15 SP 284,15-06527-FC01,"1565 Duckhorn Street Northwest   Concord, North Carolina 28027",9173/297
2,Cabarrus,05/22/17   2:00PM,Not Available Yet,NC,15 SP 795,10-21914-FC02,"3779 Quiet Stream Drive   Concord, North Carolina 28025",08074/0064
3,Cabarrus,05/17/17   2:00PM,Not Available Yet,NC,15 SP 887,12-08185-FC02,"672 Bright Orchid Avenue   Concord, North Carolina 28025",7539/151
4,Cabarrus,06/21/17   2:00PM,Not Available Yet,NC,16 SP 731,16-16572-FC01,"1014 Austin Avenue   Kannapolis, North Carolina 28083",07959/0213
5,Cabarrus,05/24/17   2:00PM,Not Available Yet,NC,17 SP 168,16-17093-FC01,"1041 Ramsgate Drive Southwest   Concord, North Carolina 28025",08424/0038
6,Cabarrus,06/06/17   2:00PM,Not Available Yet,NC,16 SP 757,16-17279-FC01,"202 East 5th Street   Kannapolis, North Carolina 28083",08597/0177
7,Cabarrus,06/06/17   2:00PM,Not Available Yet,NC,16 SP 787,16-17974-FC01,"2978 Deep Cove Drive Northwest   Concord, North Carolina 28027",11678/0233
8,Cabarrus,05/31/17   2:00PM,Not Available Yet,NC,16 SP 89,16-19399-FC01,"4458 Kellybrook Drive   Concord, North Carolina 28025",6667/17
9,Cabarrus,05/15/17   2:00PM,Not Available Yet,NC,16 SP 500,16-15912-FC01,"304 Athens Hills Place   Kannapolis, North Carolina 28083",10313/263
10,Cabarrus,05/31/17   2:00PM,Not Available Yet,NC,17 SP 67,16-21398-FC01,"70 Bridlewood Place   Concord, North Carolina 28025",5586/153
11,Cabarrus,05/31/17   2:00PM,Not Available Yet,NC,17 SP 75,15-20678-FC02,"1002 Oakwood Avenue   Kannapolis, North Carolina 28081",6536/58
12,Cabarrus,05/17/17   2:00PM,Not Available Yet,NC,17 SP 82,17-01106-FC01,"1463 Eschol Lane Northwest   Concord, North Carolina 28027",07895/0221
13,Cabarrus,06/12/17   2:00PM,Not Available Yet,NC,17 SP 108,17-02003-FC01,"916 Haley Street   Kannapolis, North Carolina 28081",5543/237
0,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,17 SP 784,13-01470-FC02,"12575 Bluestem Lane   Charlotte, North Carolina 28277",22844/519
1,Mecklenburg,06/22/17  12:00PM,Not Available Yet,NC,15 SP 1482,10-25372-FC04,"4854 Elizabeth Road   Charlotte, North Carolina 28269",23991/154
2,Mecklenburg,06/29/17  12:00PM,Not Available Yet,NC,15 SP 4047,15-17117-FC01,"8606 Panglemont Drive   Charlotte, North Carolina 28269",24749/211
3,Mecklenburg,06/22/17  12:00PM,Not Available Yet,NC,15 SP 4032,11-22609-FC03,"8601 Conklin Place and 3112 Vestal Place   Charlotte, North Carolina 28212",16995/844
4,Mecklenburg,05/12/17  11:00AM,Not Available Yet,NC,15 SP 5193,15-21268-FC01,"512 Sunnywood Lane   Charlotte, North Carolina 28270",10923/884
5,Mecklenburg,05/17/17  12:00PM,Not Available Yet,NC,15 SP 4717,10-13194-FC03,"10736 Chastain Parc Drive   Charlotte, North Carolina 28216",18614/583
6,Mecklenburg,06/15/17  12:00PM,Not Available Yet,NC,15 SP 5070,14-08398-FC03,"4536 Noras Path Road   Charlotte, North Carolina 28226",22766/806
7,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,15 SP 5332,15-24173-FC01,"9609 Tralee Court   Stallings, North Carolina 28104",28032/396
8,Mecklenburg,06/08/17  12:00PM,Not Available Yet,NC,16 SP 201,14-11230-FC03,"11251 Cypress View Drive   Charlotte, North Carolina 28262",21296/768
9,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,16 SP 231,08-10604-FC05,"11024 Pale Hickory Lane   Charlotte, North Carolina 28215",21271/844
10,Mecklenburg,06/14/17  12:00PM,Not Available Yet,NC,16 SP 994,15-24330-FC03,"2802 Azalea Hills Drive   Charlotte, North Carolina 28262",18405/162
11,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,17 SP 847,16-04739-FC01,"2817 Granstark Court   Charlotte, North Carolina 28216",25650/641
12,Mecklenburg,05/12/17  11:00AM,Not Available Yet,NC,16 SP 1481,08-10246-FC05,"1328 Level Creek Lane   Charlotte, North Carolina 28214",19107/921
13,Mecklenburg,06/29/17  12:00PM,Not Available Yet,NC,13 SP 1605,16-06561-FC01,"7924 Briardale Drive   Charlotte, North Carolina 28212",24454/366
14,Mecklenburg,06/14/17  12:00PM,Not Available Yet,NC,16 SP 2068,16-08438-FC01,"823 Cattaloochee Lane   Huntersville, North Carolina 28078",23378/962
15,Mecklenburg,05/11/17  12:00PM,Not Available Yet,NC,17 SP 344,16-10015-FC01,"8221 Feather Lane   Charlotte, North Carolina 28212",20666/56
16,Mecklenburg,06/22/17  11:00AM,Not Available Yet,NC,16 SP 2811,09-00794-FC04,"5524 Chasewind Drive   Charlotte, North Carolina 28269",21995/456
17,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,16 SP 3360,16-14333-FC01,"3811 Vining Court   Charlotte, North Carolina 28216",12680/596
18,Mecklenburg,05/11/17  12:00PM,Not Available Yet,NC,16 SP 4001,09-11847-FC04,"425 Pecan Avenue   Charlotte, North Carolina 28204",17073/933
19,Mecklenburg,05/11/17  11:00AM,Not Available Yet,NC,17 SP 573,15-15853-FC03,"7512 Park Vista Circle   Charlotte, North Carolina 28226",22375/367
20,Mecklenburg,05/18/17  12:00PM,Not Available Yet,NC,16 SP 3798,16-00342-FC02,"6203 Day Lilly Lane   Charlotte, North Carolina 28216",19400/122
21,Mecklenburg,06/15/17  12:00PM,Not Available Yet,NC,16 SP 3592,16-15078-FC01,"8521 Westhope Street   Charlotte, North Carolina 28216",17914/101
22,Mecklenburg,06/22/17  12:00PM,Not Available Yet,NC,16 SP 3760,16-15647-FC01,"6873 Juniper Tree Street   Charlotte, North Carolina 28215",21536/958
23,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,16 SP 3944,16-16234-FC01,"7631 Coffey Creek Drive   Charlotte, North Carolina 28273",29981/634
24,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,16 SP 4790,14-08272-FC01,"11834 Renee Savannah Lane   Charlotte, North Carolina 28216",16331/537
25,Mecklenburg,05/11/17  12:00PM,Not Available Yet,NC,16 SP 4346,16-16559-FC01,"6639 Ronda Avenue   Charlotte, North Carolina 28211",RE 19034/30
26,Mecklenburg,05/11/17  12:00PM,Not Available Yet,NC,16 SP 4279,16-17654-FC01,"1630 Prairie Valley Drive   Charlotte, North Carolina 28269",20739/816
27,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,16 SP 4380,16-17925-FC01,"10426 Atkins Ridge Drive   Charlotte, North Carolina 28213",29725/633
28,Mecklenburg,06/22/17  12:00PM,Not Available Yet,NC,16 SP 4234,16-18005-FC01,"13202 David Jennings Avenue   Charlotte, North Carolina 28213",27176/345
29,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,16 SP 4482,16-18474-FC01,"5420 Donnefield Drive   Charlotte, North Carolina 28227",10446/857
30,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,16 SP 4395,16-18526-FC01,"13318 Erwin Road   Charlotte, North Carolina 28273",25047/454
31,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,16 SP 4626,16-18713-FC01,"10341 Misty Moss Court   Mint Hill, North Carolina 28227",20892/215
32,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,16 SP 4492,15-06668-FC03,"14701 Albemarle Road and 14709 Albemarle Road   Charlotte, North Carolina 28227",21404/747
33,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,16 SP 4846,16-19943-FC01,"22312 John Gamble Road   Cornelius, North Carolina 28031",30293/292
34,Mecklenburg,06/15/17  11:00AM,Not Available Yet,NC,16 SP 4709,15-05578-FC03,"8911 Leitrim Court   Charlotte, North Carolina 28277",23073/11
35,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,17 SP 406,16-20225-FC01,"2319 Estelle Street   Charlotte, North Carolina 28216",23703/348
36,Mecklenburg,05/11/17  11:00AM,Not Available Yet,NC,16 SP 4832,16-20578-FC01,"16620 Cobbleview Lane and Lot 3A off of Cobbleview Lane    Huntersville, North Carolina 28078",25329/943
37,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,17 SP 936,16-20923-FC01,"10567 Stoneacre Court   Pineville, North Carolina 28134",27538/825
38,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,17 SP 751,17-00059-FC01,"5506 Prosperity View Drive   Charlotte, North Carolina 28269",26255/782
39,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,17 SP 690,11-09567-FC01,"2518 Eargle Road   Charlotte, North Carolina 28269",13654/35
40,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,17 SP 403,14-15795-FC04,"11539 Carnsore Court   Charlotte, North Carolina 28214",20609/665
41,Mecklenburg,06/15/17  11:00AM,Not Available Yet,NC,17 SP 845,17-00405-FC01,"6416 Tall Oaks Trail   Charlotte, North Carolina 28210",27256/130
42,Mecklenburg,05/11/17  11:00AM,Not Available Yet,NC,17 SP 621,16-16165-FC02,"17418 Tuscany Lane   Cornelius, North Carolina 28031",29762/603
43,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,17 SP 626,17-00812-FC01,"10015 Hanging Moss Trail   Mint Hill, North Carolina 28227",26505/519
44,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,17 SP 472,17-00902-FC01,"219 Minitree Lane   Charlotte, North Carolina 28214",23401/659
45,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,17 SP 558,16-12639-FC02,"9738 Bradstreet Commons Way   Charlotte, North Carolina 28215",18065/651
46,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,17 SP 937,17-01932-FC01,"9500 East W T Harris Boulevard   Charlotte, North Carolina 28227",21467/821
47,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,17 SP 848,15-25308-FC01,"11441 Misty Valley Court   Charlotte, North Carolina 28226",21093/221
48,Mecklenburg,05/18/17  11:00AM,Not Available Yet,NC,17 SP 664,08-09864-FC02,"5224 Elizabeth Road   Charlotte, North Carolina 28269",16831/697
49,Mecklenburg,06/15/17  11:00AM,Not Available Yet,NC,17 SP 782,15-21209-FC02,"6336 Windsor Gate Lane   Charlotte, North Carolina 28215",19682/907
50,Mecklenburg,05/11/17  12:00PM,Not Available Yet,NC,17 SP 689,16-11963-FC02,"8221 Pineville-Matthews Road, Unit D   Charlotte, North Carolina 28226",25133/720
51,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,17 SP 977,17-02688-FC01,"3511 Firestone Drive   Charlotte, North Carolina 28216",27538/34
52,Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,17 SP 849,17-02864-FC01,"6931 Woodbridge Valley Circle   Mint Hill, North Carolina 28227",24003/740
53,Mecklenburg,06/01/17  11:00AM,Not Available Yet,NC,17 SP 956,16-12569-FC02,"6602 Latta Springs Circle   Huntersville, North Carolina 28078",26703/927
54,Mecklenburg,06/08/17  12:00PM,Not Available Yet,NC,15 SP 2376,16-13557-FC01,"3801 Crestridge Drive   Charlotte, North Carolina 28217",17884/124
55,Mecklenburg,06/14/17  12:00PM,Not Available Yet,NC,12 SP 8490,10-27107-FC02,"9721 Hollyburgh Terrace   Charlotte, North Carolina 28215",19451/579
56,Mecklenburg,05/11/17  11:00AM,Not Available Yet,NC,17 SP 620,12-08081-FC01,"537 Moss Stream Lane   Charlotte, North Carolina 28216",15742/575
57,Mecklenburg,05/17/17  12:00PM,Not Available Yet,NC,12 SP 8474,12-15807-FC01,"3818 Voeltz Drive   Charlotte, North Carolina 28269",22334/748
58,Mecklenburg,06/08/17  12:00PM,Not Available Yet,NC,12 SP 8790,10-20359-FC03,"14928 Middlethorpe Lane   Huntersville, North Carolina 28078",23507/628
59,Mecklenburg,06/29/17  11:00AM,Not Available Yet,NC,14 SP 213,11-15445-FC02,"9609 Rothman Lane   Charlotte, North Carolina 28215",23358/1
60,Mecklenburg,06/08/17  11:00AM,Not Available Yet,NC,14 SP 1954,14-04115-FC01,"9408 Lexington Circle Apartment F   Charlotte, North Carolina 28213",21833/935
61,Mecklenburg,06/15/17  11:00AM,"$99,586.85",NC,16 SP 4062,16-17381-FC01,"11024 Shipwright Lane   Charlotte, North Carolina 28215",12378/666
62,Mecklenburg,06/15/17  11:00AM,"$198,255.78",NC,14 SP 3831,14-08871-FC02,"5721 Versage Drive   Mint Hill, North Carolina 28227",16051/549
