Property County,Sale Date - Sale Time,Case #,Property Address,Open Bid
"CABARRUS, NC",5/8/17 - 10:00 AM,16SP745,"734 CARLY CT, CONCORD, NC 28025",$126000.00
"CABARRUS, NC",5/8/17 - 10:00 AMPostponed Until 6/5/17,16SP669,"5399 JOSEPHINE LN SOUTHWEST, CONCORD, NC 28027",N/A
"CABARRUS, NC",5/15/17 - 10:00 AM,17SP176,"301 BELL ST, KANNAPOLIS, NC 28081",N/A
"CABARRUS, NC",5/15/17 - 10:00 AMCancelled Until 7/5/17,17SP70,"150 EMERY AVE NORTHWEST, CONCORD, NC 28027",N/A
"CABARRUS, NC",5/15/17 - 10:00 AMCancelled Until 7/17/17,16SP667,"4276 TUCKER CHASE DR, MIDLAND, NC 28107",N/A
"CABARRUS, NC",5/15/17 - 10:00 AMCancelled Until 7/5/17,16SP304,"1660 SONGWOOD RD, CONCORD, NC 28025",N/A
