County,Sale Date & Time,Bid Amount,State Code,Court SP#,Case Number,Address,Book Page
Wake,05/15/17  10:00AM,Not Available Yet,NC,16 SP 1713,13-06834-FC04,"2929 Tram Road   Fuquay Varina, North Carolina 27526",010809/00690
Mecklenburg,05/11/17  12:00PM,Not Available Yet,NC,17 SP 344,16-10015-FC01,"8221 Feather Lane   Charlotte, North Carolina 28212",20666/56
Currituck,06/01/17  12:00PM,Not Available Yet,NC,16 SP 125,16-10103-FC01,"1060 Lighthouse Drive   Corolla, North Carolina 27927",914/592
Onslow,06/20/17  10:00AM,Not Available Yet,NC,16 SP 969,10-33063-FC02,"3888 Island Drive   North Topsail Beach, North Carolina 28460",2722/614
Rockingham,05/17/17  10:00AM,Not Available Yet,NC,16 SP 203,13-17685-FC02,"131 McCoy Road   Reidsville, North Carolina 27320",1124/1039
Beaufort,06/20/17   1:00PM,Not Available Yet,NC,16 SP 118,14-14116-FC02,"102 Heritage Drive   Washington, North Carolina 27889",1445/43
Orange,05/09/17   1:00PM,Not Available Yet,NC,16 SP 218,16-10788-FC01,"320 Wesley Drive   Chapel Hill, North Carolina 27516",RB3675/149
Cumberland,05/10/17  10:00AM,Not Available Yet,NC,16 SP 1401,16-10859-FC01,"709 Rodie Avenue    Fayetteville, North Carolina 28304",6794/201
Cumberland,07/05/17  10:00AM,Not Available Yet,NC,16 SP 1043,16-10892-FC01,"5567 Quietwood Place   Fayetteville, North Carolina 28304",08888/0543
Brunswick,06/28/17  10:00AM,Not Available Yet,NC,16 SP 549,16-11042-FC01,"10177 Morecamble Boulevard Southeast   Leland, North Carolina 28451",3694/0752
New Hanover,06/06/17  10:00AM,Not Available Yet,NC,16 SP 526,16-11445-FC01,"1810 Hawthorne Road   Wilmington, North Carolina 28403",5206/1429
Brunswick,05/30/17  10:00AM,Not Available Yet,NC,16 SP 378,16-11578-FC01,"6574 Summerfield Place Southwest   Ocean Isle Beach, North Carolina 28469",2894/1021
Mecklenburg,06/22/17  11:00AM,Not Available Yet,NC,16 SP 2811,09-00794-FC04,"5524 Chasewind Drive   Charlotte, North Carolina 28269",21995/456
Hertford,05/25/17  11:00AM,Not Available Yet,NC,16 SP 58,16-12078-FC01,"1124 NC Highway 561 West   Aulander, North Carolina 27805",716/760
Durham,05/09/17  10:00AM,Not Available Yet,NC,16 SP 762,16-12206-FC01,"1701 Cheshire Bridge Road   Durham, North Carolina 27712",3917/50
Brunswick,05/16/17  10:00AM,Not Available Yet,NC,16 SP 434,16-12216-FC01,"4907 Alamance Drive Southeast   Southport, North Carolina 28461",3371/341
Onslow,05/24/17  10:00AM,Not Available Yet,NC,16 SP 876,16-12260-FC01,"105 Cole Porter Lane   Jacksonville, North Carolina 28540",3812/804
Cumberland,05/31/17  10:00AM,Not Available Yet,NC,16 SP 1234,16-12430-FC01,"6564 Honeysuckle Drive   Fayetteville, North Carolina 28304",8229/870
Halifax,06/13/17  11:00AM,Not Available Yet,NC,16 SP 134,16-12510-FC01,"1002 Bolling Road   Roanoke Rapids, North Carolina 27870",2319/115
Sampson,06/01/17  10:00AM,Not Available Yet,NC,16 SP 163,13-14967-FC02,"1485 Odom Road   Clinton, North Carolina 28328",01709/0100
Stokes,05/09/17  10:00AM,Not Available Yet,NC,16 SP 114,16-12629-FC01,"116 Pebblestone Court   King, North Carolina 27021",0411/0474
Gaston,05/10/17  10:00AM,Not Available Yet,NC,16 SP 912,14-01884-FC01,"413 Costner School Road   Bessemer City, North Carolina 28016",2579/368
Onslow,06/21/17  10:00AM,Not Available Yet,NC,16 SP 909,10-32613-FC02,"3886 Island Drive   North Topsail Beach, North Carolina 28460",2722/578
Johnston,06/20/17  12:00PM,Not Available Yet,NC,16 SP 533,16-12797-FC01,"1088 Swift Creek Road   Smithfield, North Carolina 27577",4408/997
Brunswick,05/30/17  10:00AM,Not Available Yet,NC,16 SP 445,16-12872-FC01,"111 Southeast 34th Street   Oak Island, North Carolina 28465",3700/0154
Cumberland,05/24/17  10:00AM,Not Available Yet,NC,17 SP 146,15-16121-FC02,"1821 Calista Circle   Fayetteville, North Carolina 28304",7167/776
Johnston,06/27/17  12:00PM,Not Available Yet,NC,16 SP 539,16-12911-FC01,"278 Fireweed Place   Clayton, North Carolina 27527",3728/157
Wake,06/07/17  10:00AM,Not Available Yet,NC,16 SP 2239,16-12957-FC01,"3129 Brentwood Road   Raleigh, North Carolina 27604",013179/00484
Wake,05/15/17  10:00AM,Not Available Yet,NC,17 SP 133,16-13161-FC01,"1103 Mordecai Drive   Raleigh, North Carolina 27604",011672/00988
Randolph,05/09/17  10:00AM,Not Available Yet,NC,16 SP 488,16-13168-FC01,"3721 Golden Meadow Road   Asheboro, North Carolina 27205",RE1987/1841
Wilson,05/09/17  10:00AM,Not Available Yet,NC,16 SP 214,16-13274-FC01,"3603 Fulton Place Northwest   Wilson, North Carolina 27896",2487/270
Davidson,06/26/17  11:00AM,Not Available Yet,NC,16 SP 451,10-09293-FC04,"310 Staley Drive   Linwood, North Carolina 27299",1659/822
Wayne,05/25/17  10:00AM,Not Available Yet,NC,16 SP 324,16-13594-FC01,"709 North Pineview Avenue   Goldsboro, North Carolina 27530",1915/288
Harnett,05/11/17  10:00AM,Not Available Yet,NC,16 SP 390,12-02576-FC02,"339 Owens Road   Angier, North Carolina 27501",1743/411
Yadkin,05/25/17  10:00AM,Not Available Yet,NC,16 SP 106,14-21532-FC02,"1637 Helton Road and .74 acre parcel adjacent to 1637 Helton Road and   1.48 acre parcel adjacent to 1637 Helton Road Yadkinville, North Carolina 27055",00773/0472
Gates,05/24/17  10:00AM,Not Available Yet,NC,16 SP 42,16-13774-FC01,"111 Cooper Road   Sunbury, North Carolina 27979",298/403
Robeson,05/18/17  10:00AM,Not Available Yet,NC,16 SP 328,16-13815-FC01,"1304 East 10th Street   Lumberton, North Carolina 28358",1291/691
Surry,06/13/17  10:00AM,Not Available Yet,NC,16 SP 191,16-13830-FC01,"219 Windsor Park Drive   Dobson, North Carolina 27017",514/0300
Wake,05/15/17  10:00AM,Not Available Yet,NC,16 SP 3381,16-07251-FC01,"117 Light Falls Drive   Wake Forest, North Carolina 27587",015641/02144
Nash,06/28/17  10:00AM,Not Available Yet,NC,16 SP 225,16-14071-FC01,"3905 Crosswinds Drive   Rocky Mount, North Carolina 27803",1634/729
Durham,05/23/17  10:00AM,Not Available Yet,NC,17 SP 265,16-14104-FC01,"7606 Morrell Lane   Durham, North Carolina 27713",5559/881
Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,16 SP 3360,16-14333-FC01,"3811 Vining Court   Charlotte, North Carolina 28216",12680/596
Catawba,06/28/17   2:00PM,Not Available Yet,NC,16 SP 510,16-14342-FC01,"5115 East NC Highway 10   Catawba, North Carolina 28609",02811/0540
Mecklenburg,05/11/17  12:00PM,Not Available Yet,NC,16 SP 4001,09-11847-FC04,"425 Pecan Avenue   Charlotte, North Carolina 28204",17073/933
Mecklenburg,05/11/17  11:00AM,Not Available Yet,NC,17 SP 573,15-15853-FC03,"7512 Park Vista Circle   Charlotte, North Carolina 28226",22375/367
Brunswick,06/28/17  10:00AM,Not Available Yet,NC,16 SP 436,16-14489-FC01,"2628 Jessica Lane Southwest   Supply, North Carolina 28462",2455/0001
Catawba,06/21/17   2:00PM,Not Available Yet,NC,16 SP 481,16-14493-FC01,"2506 Marble Street and Lots 1 thru 8 adjacent to 2506 Marble Street   Newton, North Carolina 28658",02552/1316
Johnston,06/27/17  12:00PM,Not Available Yet,NC,16 SP 594,16-14545-FC01,"325 Mustang Lane   Zebulon, North Carolina 27597",4580/201
Carteret,05/18/17  11:00AM,Not Available Yet,NC,16 SP 271,16-14707-FC01,"126 Forest Line Drive   Bogue, North Carolina 28570",
Guilford,05/23/17   2:00PM,Not Available Yet,NC,16 SP 1878,14-28299-FC02,"4601 Battle Forest Lane   Greensboro, North Carolina 27455",5831/2800
Cherokee,05/17/17  11:00AM,Not Available Yet,NC,16 SP 111,16-14794-FC01,"1666 Orton Road   Murphy, North Carolina 28906",01381/0474
Mecklenburg,05/18/17  12:00PM,Not Available Yet,NC,16 SP 3798,16-00342-FC02,"6203 Day Lilly Lane   Charlotte, North Carolina 28216",19400/122
Wake,05/10/17  10:00AM,Not Available Yet,NC,16 SP 2598,16-14924-FC01,"4121 Mackinac Island Lane   Raleigh, North Carolina 27610",012462/00795
Cumberland,05/10/17  10:00AM,Not Available Yet,NC,16 SP 1282,16-14929-FC01,"2152 Fargo Drive   Fayetteville, North Carolina 28306",6287/507
Mecklenburg,06/15/17  12:00PM,Not Available Yet,NC,16 SP 3592,16-15078-FC01,"8521 Westhope Street   Charlotte, North Carolina 28216",17914/101
Hoke,05/23/17  10:00AM,Not Available Yet,NC,16 SP 239,16-15136-FC01,"471 Berwick Drive   Raeford, North Carolina 28376",00764/0079
Person,06/28/17  12:00PM,Not Available Yet,NC,16 SP 134,16-12617-FC01,"500 Virgilina Road   Roxboro, North Carolina 27573",872/3
Gates,06/26/17  10:00AM,Not Available Yet,NC,16 SP 38,16-15217-FC01,"607 Drum Hill Road   Gates, North Carolina 27937",236/138
Carteret,06/29/17  11:00AM,Not Available Yet,NC,16 SP 260,15-00584-FC02,"487 Highway 70 Bettie   Beaufort, North Carolina 28516",
Wilson,05/30/17  10:00AM,Not Available Yet,NC,17 SP 29,16-15341-FC01,"1006 Aycock Street South   Wilson, North Carolina 27893",1721/597
